adduser	3.134
ghostscript	10.0.0~dfsg-11+deb12u8
git	1:2.39.5-0+deb12u3
git-man	1:2.39.5-0+deb12u3
glib-networking:arm64	2.74.0-4
glib-networking-common	2.74.0-4
glib-networking-services	2.74.0-4
gnupg	2.2.40-1.1+deb12u2
gnupg-l10n	2.2.40-1.1+deb12u2
gnupg-utils	2.2.40-1.1+deb12u2
gpg	2.2.40-1.1+deb12u2
gpg-agent	2.2.40-1.1+deb12u2
gpgconf	2.2.40-1.1+deb12u2
gpgsm	2.2.40-1.1+deb12u2
gpgv	2.2.40-1.1+deb12u2
gpg-wks-client	2.2.40-1.1+deb12u2
gpg-wks-server	2.2.40-1.1+deb12u2
grep	3.8-5
groff-base	1.22.4-10
gsettings-desktop-schemas	43.0-1
gsfonts	2:20200910-7
gstreamer1.0-alsa:arm64	1.22.0-3+deb12u6
gstreamer1.0-gl:arm64	1.22.0-3+deb12u6
gstreamer1.0-gtk3:arm64	1.22.0-5+deb12u3
gstreamer1.0-libav:arm64	1.22.0-2
gstreamer1.0-plugins-bad:arm64	1.22.0-4+deb12u7
gstreamer1.0-plugins-base:arm64	1.22.0-3+deb12u6
gstreamer1.0-plugins-good:arm64	1.22.0-5+deb12u3
gstreamer1.0-plugins-ugly:arm64	1.22.0-2+deb12u2
gstreamer1.0-pulseaudio:arm64	1.22.0-5+deb12u3
gstreamer1.0-tools	1.22.0-2+deb12u1
gstreamer1.0-x:arm64	1.22.0-3+deb12u6
gtk-update-icon-cache	3.24.38-2~deb12u3
gzip	1.12-1
hicolor-icon-theme	0.17-2
hostname	3.23+nmu1
htop	3.2.2-2
i2c-tools	4.3-2+b3
ifupdown	0.8.41
imagemagick-6-common	8:6.9.11.60+dfsg-1.6+deb12u8
init	1.65.2+deb12u1
init-system-helpers	1.65.2+deb12u1
iproute2	6.1.0-3
iptables	1.8.9-2
iputils-ping	3:20221126-1+deb12u1
isc-dhcp-client	4.4.3-P1-2
isc-dhcp-common	4.4.3-P1-2
iso-codes	4.15.0-1
iw	5.19-1
jq	1.6-2.1+deb12u1
keyboard-configuration	1.221
keyutils	1.6.3-2
kmod	30+20221128-1
less	590-2.1~deb12u2
liba52-0.7.4:arm64	0.7.4-20
libaa1:arm64	1.4p5-50
libaacs0:arm64	0.11.1-2
libabsl20220623:arm64	20220623.1-1+deb12u2
libacl1:arm64	2.3.1-3
libalgorithm-diff-perl	1.201-1
libalgorithm-diff-xs-perl:arm64	0.04-8+b1
libalgorithm-merge-perl	0.08-5
libaom3:arm64	3.6.0-1+deb12u2
libapparmor1:arm64	3.0.8-3
libapt-pkg6.0:arm64	2.6.1
libargon2-1:arm64	0~20171227-0.3+deb12u1
libasan8:arm64	12.2.0-14+deb12u1
libasound2:arm64	1.2.8-1+b1
libasound2-data	1.2.8-1
libasound2-plugin-bluez:arm64	4.0.0-2
libass9:arm64	1:0.17.1-1
libassuan0:arm64	2.5.5-5
libasyncns0:arm64	0.8-6+b3
libatasmart4:arm64	0.19-5
libatk1.0-0:arm64	2.46.0-5
libatk-bridge2.0-0:arm64	2.46.0-5
libatomic1:arm64	12.2.0-14+deb12u1
libatopology2:arm64	1.2.8-1+b1
libatspi2.0-0:arm64	2.46.0-5
libattr1:arm64	1:2.5.1-4
libaudit1:arm64	1:3.0.9-1
libaudit-common	1:3.0.9-1
libavahi-client3:arm64	0.8-10+deb12u1
libavahi-common3:arm64	0.8-10+deb12u1
libavahi-common-data:arm64	0.8-10+deb12u1
libavahi-core7:arm64	0.8-10+deb12u1
libavc1394-0:arm64	0.5.4-5
libavcodec59:arm64	7:5.1.8-0+deb12u1
libavdevice59:arm64	7:5.1.8-0+deb12u1
libavfilter8:arm64	7:5.1.8-0+deb12u1
libavformat59:arm64	7:5.1.8-0+deb12u1
libavif15:arm64	0.11.1-1+deb12u1
libavutil57:arm64	7:5.1.8-0+deb12u1
libbabeltrace1:arm64	1.5.11-1+b2
libbdplus0:arm64	0.2.0-3
libbinutils:arm64	2.40-2
libblas3:arm64	3.11.0-2
libblkid1:arm64	2.38.1-5+deb12u3
libblkid-dev:arm64	2.38.1-5+deb12u3
libblockdev2:arm64	2.28-2+deb12u1
libblockdev-crypto2:arm64	2.28-2+deb12u1
libblockdev-fs2:arm64	2.28-2+deb12u1
libblockdev-loop2:arm64	2.28-2+deb12u1
libblockdev-part2:arm64	2.28-2+deb12u1
libblockdev-part-err2:arm64	2.28-2+deb12u1
libblockdev-swap2:arm64	2.28-2+deb12u1
libblockdev-utils2:arm64	2.28-2+deb12u1
libbluetooth3:arm64	5.66-1+deb12u2
libbluray2:arm64	1:1.3.4-1
libboost-filesystem1.74.0:arm64	1.74.0+ds1-21
libboost-regex1.74.0:arm64	1.74.0+ds1-21
libbpf1:arm64	1:1.1.2-0+deb12u1
libbrotli1:arm64	1.0.9-2+b6
libbs2b0:arm64	3.1.0+dfsg-7
libbsd0:arm64	0.11.7-2
libbz2-1.0:arm64	1.0.8-5+b1
libc6:arm64	2.36-9+deb12u13
libc6-dbg:arm64	2.36-9+deb12u13
libc6-dev:arm64	2.36-9+deb12u13
libcaca0:arm64	0.99.beta20-3
libcairo2:arm64	1.16.0-7
libcairo-gobject2:arm64	1.16.0-7
libcap2:arm64	1:2.66-4+deb12u2+b2
libcap2-bin	1:2.66-4+deb12u2+b2
libcap-ng0:arm64	0.8.3-1+b3
libc-bin	2.36-9+deb12u13
libcbor0.8:arm64	0.8.0-2+b1
libcc1-0:arm64	12.2.0-14+deb12u1
libc-dev-bin	2.36-9+deb12u13
libc-devtools	2.36-9+deb12u13
libcdio19:arm64	2.1.0-4
libcdio-cdda2:arm64	10.2+2.0.1-1
libcdio-paranoia2:arm64	10.2+2.0.1-1
libcdparanoia0:arm64	3.10.2+debian-14
libchromaprint1:arm64	1.5.1-2+b1
libcjson1:arm64	1.7.15-1+deb12u4
libc-l10n	2.36-9+deb12u13
libcodec2-1.0:arm64	1.0.5-1
libcolord2:arm64	1.4.6-2.2
libcom-err2:arm64	1.47.0-2+b2
libcrypt1:arm64	1:4.4.33-2
libcrypt-dev:arm64	1:4.4.33-2
libcryptsetup12:arm64	2:2.6.1-4~deb12u2
libctf0:arm64	2.40-2
libctf-nobfd0:arm64	2.40-2
libcups2:arm64	2.4.2-3+deb12u9
libcurl3-gnutls:arm64	7.88.1-10+deb12u15
libcurl4:arm64	7.88.1-10+deb12u15
libdaemon0:arm64	0.14-7.1
libdatrie1:arm64	0.2.13-2+b1
libdav1d6:arm64	1.0.0-2+deb12u1
libdb5.3:arm64	5.3.28+dfsg2-1
libdbus-1-3:arm64	1.14.10-1~deb12u1
libdc1394-25:arm64	2.2.6-4
libdca0:arm64	0.0.7-2
libdconf1:arm64	0.40.0-4
libde265-0:arm64	1.0.11-1+deb12u2
libdebconfclient0:arm64	0.270
libdebuginfod1:arm64	0.188-2.1
libdebuginfod-common	0.188-2.1
libdecor-0-0:arm64	0.1.1-2
libdecor-0-plugin-1-cairo:arm64	0.1.1-2
libdeflate0:arm64	1.14-1
libdevmapper1.02.1:arm64	2:1.02.185-2
libdirectfb-1.7-7:arm64	1.7.7-11
libdjvulibre21:arm64	3.5.28-2.2~deb12u1
libdjvulibre-text	3.5.28-2.2~deb12u1
libdouble-conversion3:arm64	3.2.1-1
libdpkg-perl	1.21.22
libdrm2:arm64	2.4.114-1+b1
libdrm-amdgpu1:arm64	2.4.114-1+b1
libdrm-common	2.4.114-1
libdrm-nouveau2:arm64	2.4.114-1+b1
libdrm-radeon1:arm64	2.4.114-1+b1
libduktape207:arm64	2.7.0-2
libdv4:arm64	1.0.0-15
libdvdnav4:arm64	6.1.1-1
libdvdread8:arm64	6.1.3-1
libdw1:arm64	0.188-2.1
libebml5:arm64	1.4.4-1+deb12u1
libedit2:arm64	3.1-20221030-2
libegl1:arm64	1.6.0-1
libegl-mesa0:arm64	22.3.6-1+deb12u1
libelf1:arm64	0.188-2.1
libelf-dev:arm64	0.188-2.1
libepoxy0:arm64	1.5.10-1
liberror-perl	0.17029-2
libevent-core-2.1-7:arm64	2.1.12-stable-8
libexpat1:arm64	2.5.0-1+deb12u2
libext2fs2:arm64	1.47.0-2+b2
libfaad2:arm64	2.10.1-1
libfakeroot:arm64	1.31-1.2
libfdisk1:arm64	2.38.1-5+deb12u3
libffi8:arm64	3.4.4-1
libffi-dev:arm64	3.4.4-1
libfftw3-double3:arm64	3.3.10-1
libfftw3-single3:arm64	3.3.10-1
libfido2-1:arm64	1.12.0-2+b1
libfile-fcntllock-perl	0.22-4+b1
libfile-find-rule-perl	0.34-4~deb12u1
libfl2:arm64	2.6.4-8.2
libflac12:arm64	1.4.2+ds-2
libfl-dev:arm64	2.6.4-8.2
libflite1:arm64	2.2-5
libfluidsynth3:arm64	2.3.1-2
libfmt9:arm64	9.1.0+ds1-2
libfontconfig1:arm64	2.14.1-4
libfontenc1:arm64	1:1.1.4-1
libfreeaptx0:arm64	0.1.1-2
libfreetype6:arm64	2.12.1+dfsg-5+deb12u4
libfribidi0:arm64	1.0.8-2.1
libfuse2:arm64	2.9.9-6+b1
libfuse3-3:arm64	3.14.0-4
libgav1-1:arm64	0.18.0-1+b1
libgbm1:arm64	22.3.6-1+deb12u1
libgcc-12-dev:arm64	12.2.0-14+deb12u1
libgcc-s1:arm64	12.2.0-14+deb12u1
libgcrypt20:arm64	1.10.1-3
libgd3:arm64	2.3.3-9
libgdbm6:arm64	1.23-3
libgdbm-compat4:arm64	1.23-3
libgdk-pixbuf-2.0-0:arm64	2.42.10+dfsg-1+deb12u4
libgdk-pixbuf2.0-bin	2.42.10+dfsg-1+deb12u4
libgdk-pixbuf2.0-common	2.42.10+dfsg-1+deb12u4
libgfortran5:arm64	12.2.0-14+deb12u1
libgl1:arm64	1.6.0-1
libgl1-mesa-dri:arm64	22.3.6-1+deb12u1
libglapi-mesa:arm64	22.3.6-1+deb12u1
libgles2:arm64	1.6.0-1
libglib2.0-0:arm64	2.74.6-2+deb12u8
libglib2.0-bin	2.74.6-2+deb12u8
libglib2.0-data	2.74.6-2+deb12u8
libglib2.0-dev:arm64	2.74.6-2+deb12u8
libglib2.0-dev-bin	2.74.6-2+deb12u8
libglu1-mesa:arm64	9.0.2-1.1
libglvnd0:arm64	1.6.0-1
libglx0:arm64	1.6.0-1
libglx-mesa0:arm64	22.3.6-1+deb12u1
libgme0:arm64	0.6.3-6
libgmp10:arm64	2:6.2.1+dfsg1-1.1
libgnutls30:arm64	3.7.9-2+deb12u6
libgomp1:arm64	12.2.0-14+deb12u1
libgpg-error0:arm64	1.46-1
libgpgme11:arm64	1.18.0-3+b1
libgpm2:arm64	1.20.7-10+b1
libgprofng0:arm64	2.40-2
libgraphene-1.0-0:arm64	1.10.8-1
libgraphite2-3:arm64	1.3.14-1
libgs10:arm64	10.0.0~dfsg-11+deb12u8
libgs10-common	10.0.0~dfsg-11+deb12u8
libgs-common	10.0.0~dfsg-11+deb12u8
libgsm1:arm64	1.0.22-1
libgssapi-krb5-2:arm64	1.20.1-2+deb12u4
libgssdp-1.6-0:arm64	1.6.2-2
libgstreamer1.0-0:arm64	1.22.0-2+deb12u1
libgstreamer-gl1.0-0:arm64	1.22.0-3+deb12u6
libgstreamer-plugins-bad1.0-0:arm64	1.22.0-4+deb12u7
libgstreamer-plugins-base1.0-0:arm64	1.22.0-3+deb12u6
libgtk-3-0:arm64	3.24.38-2~deb12u3
libgtk-3-bin	3.24.38-2~deb12u3
libgtk-3-common	3.24.38-2~deb12u3
libgudev-1.0-0:arm64	237-2
libgupnp-1.6-0:arm64	1.6.3-1
libgupnp-igd-1.0-4:arm64	1.2.0-3
libharfbuzz0b:arm64	6.0.0+dfsg-3
libheif1:arm64	1.15.1-1+deb12u1
libhogweed6:arm64	3.8.1-2
libhwasan0:arm64	12.2.0-14+deb12u1
libhwy1:arm64	1.0.3-3+deb12u1
libi2c0:arm64	4.3-2+b3
libice6:arm64	2:1.0.10-1
libicu72:arm64	72.1-3+deb12u1
libidn12:arm64	1.41-1
libidn2-0:arm64	2.3.3-1+b1
libiec61883-0:arm64	1.2.0-6+b1
libijs-0.35:arm64	0.35-15
libimath-3-1-29:arm64	3.1.6-1
libinstpatch-1.0-2:arm64	1.1.6-1
libintl-perl	1.33-1
libintl-xs-perl	1.33-1
libip4tc2:arm64	1.8.9-2
libip6tc2:arm64	1.8.9-2
libisl23:arm64	0.25-1.1
libitm1:arm64	12.2.0-14+deb12u1
libiw30:arm64	30~pre9-14
libjack-jackd2-0:arm64	1.9.21~dfsg-3
libjansson4:arm64	2.14-2
libjbig0:arm64	2.1-6.1
libjbig2dec0:arm64	0.19-3
libjim0.81:arm64	0.81+dfsg0-2
libjpeg62-turbo:arm64	1:2.1.5-2
libjq1:arm64	1.6-2.1+deb12u1
libjson-c5:arm64	0.16-2
libjson-glib-1.0-0:arm64	1.6.6-1
libjson-glib-1.0-common	1.6.6-1
libjxl0.7:arm64	0.7.0-10+deb12u1
libjxr0:arm64	1.2~git20170615.f752187-5
libjxr-tools	1.2~git20170615.f752187-5
libk5crypto3:arm64	1.20.1-2+deb12u4
libkate1:arm64	0.4.1-11
libkeyutils1:arm64	1.6.3-2
libkmod2:arm64	30+20221128-1
libkrb5-3:arm64	1.20.1-2+deb12u4
libkrb5support0:arm64	1.20.1-2+deb12u4
libksba8:arm64	1.6.3-2
liblapack3:arm64	3.11.0-2
liblcms2-2:arm64	2.14-2
libldacbt-abr2:arm64	2.0.2.3+git20200429+ed310a0-4
libldacbt-enc2:arm64	2.0.2.3+git20200429+ed310a0-4
libldap-2.5-0:arm64	2.5.13+dfsg-5
libldap-common	2.5.13+dfsg-5
liblerc4:arm64	4.0.0+ds-2
liblilv-0-0:arm64	0.24.14-1
libllvm15:arm64	1:15.0.6-4+b1
liblocale-gettext-perl	1.07-5
liblqr-1-0:arm64	0.4.2-2.1
liblrdf0:arm64	0.6.1-4
liblsan0:arm64	12.2.0-14+deb12u1
libltc11:arm64	1.3.2-1
libltdl7:arm64	2.4.7-7~deb12u1
libluajit-5.1-2:arm64	2.1.0~beta3+git20220320+dfsg-4.1+deb12u1
libluajit-5.1-common	2.1.0~beta3+git20220320+dfsg-4.1+deb12u1
liblz4-1:arm64	1.9.4-1
liblzma5:arm64	5.4.1-1
libmagic1:arm64	1:5.44-3
libmagickcore-6.q16-6:arm64	8:6.9.11.60+dfsg-1.6+deb12u8
libmagickcore-6.q16-6-extra:arm64	8:6.9.11.60+dfsg-1.6+deb12u8
libmagickwand-6.q16-6:arm64	8:6.9.11.60+dfsg-1.6+deb12u8
libmagic-mgc	1:5.44-3
libmatroska7:arm64	1.7.1-1
libmbedcrypto7:arm64	2.28.3-1
libmbim-glib4:arm64	1.28.2-1
libmbim-proxy	1.28.2-1
libmbim-utils	1.28.2-1
libmd0:arm64	1.0.4-2
libmjpegutils-2.1-0:arm64	1:2.1.0+debian-7
libmm-glib0:arm64	1.20.4-1
libmnl0:arm64	1.0.4-3
libmodplug1:arm64	1:0.8.9.0-3
libmodule-find-perl	0.16-2
libmount1:arm64	2.38.1-5+deb12u3
libmount-dev:arm64	2.38.1-5+deb12u3
libmp3lame0:arm64	3.100-6
libmpc3:arm64	1.3.1-1
libmpcdec6:arm64	2:0.1~r495-2
libmpeg2-4:arm64	0.5.1-9
libmpeg2encpp-2.1-0:arm64	1:2.1.0+debian-7
libmpfr6:arm64	4.2.0-1
libmpg123-0:arm64	1.31.2-1+deb12u1
libmplex2-2.1-0:arm64	1:2.1.0+debian-7
libmtp9:arm64	1.1.20-1
libmtp-common	1.1.20-1
libmtp-runtime	1.1.20-1
libmysofa1:arm64	1.3.1~dfsg0-1
libncurses6:arm64	6.4-4
libncursesw6:arm64	6.4-4
libndp0:arm64	1.8-1+deb12u1
libneon27:arm64	0.32.5-1
libnet1:arm64	1.1.6+dfsg-3.2
libnetfilter-conntrack3:arm64	1.0.9-3
libnettle8:arm64	3.8.1-2
libnewt0.52:arm64	0.52.23-1+b1
libnfnetlink0:arm64	1.0.2-2
libnfsidmap1:arm64	1:2.6.2-4+deb12u1
libnftables1:arm64	1.0.6-2+deb12u2
libnftnl11:arm64	1.2.4-2
libnghttp2-14:arm64	1.52.0-1+deb12u2
libnice10:arm64	0.1.21-1
libnl-3-200:arm64	3.7.0-0.2+b1
libnl-genl-3-200:arm64	3.7.0-0.2+b1
libnl-route-3-200:arm64	3.7.0-0.2+b1
libnm0:arm64	1.42.4-1+deb12u1
libnorm1:arm64	1.5.9+dfsg-2
libnpth0:arm64	1.6-3
libnsl2:arm64	1.3.0-2
libnsl-dev:arm64	1.3.0-2
libnspr4:arm64	2:4.35-1
libnss3:arm64	2:3.87.1-1+deb12u2
libnss-mdns:arm64	0.15.1-3
libntfs-3g89:arm64	1:2022.10.3-1+deb12u3
libnuma1:arm64	2.0.16-1
libnumber-compare-perl	0.03-3
libogg0:arm64	1.3.5-3
libonig5:arm64	6.9.8-1
libopenal1:arm64	1:1.19.1-2
libopenal-data	1:1.19.1-2
libopencore-amrnb0:arm64	0.1.6-1
libopencore-amrwb0:arm64	0.1.6-1
libopenexr-3-1-30:arm64	3.1.5-5
libopengl0:arm64	1.6.0-1
libopenh264-7:arm64	2.3.1+dfsg-3+deb12u2
libopenjp2-7:arm64	2.5.0-2+deb12u2
libopenmpt0:arm64	0.6.9-1
libopenni2-0:arm64	2.2.0.33+dfsg-15+b1
libopus0:arm64	1.3.1-3
liborc-0.4-0:arm64	1:0.4.33-2
libp11-kit0:arm64	0.24.1-2
libpam0g:arm64	1.5.2-6+deb12u2
libpam-modules:arm64	1.5.2-6+deb12u2
libpam-modules-bin	1.5.2-6+deb12u2
libpam-runtime	1.5.2-6+deb12u2
libpam-systemd:arm64	252.39-1~deb12u1
libpango-1.0-0:arm64	1.50.12+ds-1
libpangocairo-1.0-0:arm64	1.50.12+ds-1
libpangoft2-1.0-0:arm64	1.50.12+ds-1
libpaper1:arm64	1.1.29
libpaper-utils	1.1.29
libparted2:arm64	3.5-3
libparted-fs-resize0:arm64	3.5-3
libpcap0.8:arm64	1.10.3-1
libpci3:arm64	1:3.9.0-4
libpciaccess0:arm64	0.17-2
libpcre2-16-0:arm64	10.42-1
libpcre2-32-0:arm64	10.42-1
libpcre2-8-0:arm64	10.42-1
libpcre2-dev:arm64	10.42-1
libpcre2-posix3:arm64	10.42-1
libpcsclite1:arm64	1.9.9-2
libperl5.36:arm64	5.36.0-7+deb12u3
libpgm-5.3-0:arm64	5.3.128~dfsg-2
libpipeline1:arm64	1.5.7-1
libpixman-1-0:arm64	0.42.2-1
libpkgconf3:arm64	1.8.1-1
libplacebo208:arm64	4.208.0-3
libpng16-16:arm64	1.6.39-2+deb12u4
libpocketsphinx3:arm64	0.8+5prealpha+1-15
libpolkit-agent-1-0:arm64	122-3
libpolkit-gobject-1-0:arm64	122-3
libpopt0:arm64	1.19+dfsg-1
libpostproc56:arm64	7:5.1.8-0+deb12u1
libproc2-0:arm64	2:4.0.2-3
libproc-processtable-perl:arm64	0.634-1+b2
libprotobuf32:arm64	3.21.12-3+deb12u1
libprotobuf-c1:arm64	1.4.1-1+b1
libproxy1v5:arm64	0.4.18-1.2
libpsl5:arm64	0.21.2-1
libpthread-stubs0-dev:arm64	0.4-1
libpugixml1v5:arm64	1.13-0.2
libpulse0:arm64	16.1+dfsg1-2+b1
libpython3.11:arm64	3.11.2-6+deb12u6
libpython3.11-minimal:arm64	3.11.2-6+deb12u6
libpython3.11-stdlib:arm64	3.11.2-6+deb12u6
libpython3-stdlib:arm64	3.11.2-1+b1
libqmi-glib5:arm64	1.32.2-1
libqmi-proxy	1.32.2-1
libqmi-utils	1.32.2-1
libqrencode4:arm64	4.1.1-1
libqrtr-glib0:arm64	1.2.2-1
libqt5core5a:arm64	5.15.8+dfsg-11+deb12u3
librabbitmq4:arm64	0.11.0-1+deb12u1
libraptor2-0:arm64	2.0.15-4+deb12u1
librav1e0:arm64	0.5.1-6
libraw1394-11:arm64	2.1.2-2
libreadline8:arm64	8.2-1.3
librist4:arm64	0.2.7+dfsg-1
librsvg2-2:arm64	2.54.7+dfsg-1~deb12u1
librsvg2-common:arm64	2.54.7+dfsg-1~deb12u1
librtmp1:arm64	2.4+20151223.gitfa8646d.1-2+b2
librubberband2:arm64	3.1.2+dfsg0-1
libsamplerate0:arm64	0.2.2-3
libsasl2-2:arm64	2.1.28+dfsg-10
libsasl2-modules:arm64	2.1.28+dfsg-10
libsasl2-modules-db:arm64	2.1.28+dfsg-10
libsbc1:arm64	2.0-1
libsdl2-2.0-0:arm64	2.26.5+dfsg-1
libseccomp2:arm64	2.5.4-1+deb12u1
libselinux1:arm64	3.4-1+b6
libselinux1-dev:arm64	3.4-1+b6
libsemanage2:arm64	3.4-1+b5
libsemanage-common	3.4-1
libsensors5:arm64	1:3.6.0-7.1
libsensors-config	1:3.6.0-7.1
libsepol2:arm64	3.4-2.1
libsepol-dev:arm64	3.4-2.1
libserd-0-0:arm64	0.30.16-1
libshine3:arm64	3.1.1-2
libshout3:arm64	2.4.6-1+b1
libsidplay1v5:arm64	1.36.60-1
libslang2:arm64	2.3.3-3
libsm6:arm64	2:1.2.3-1
libsmartcols1:arm64	2.38.1-5+deb12u3
libsnappy1v5:arm64	1.1.9-3
libsndfile1:arm64	1.2.0-1+deb12u1
libsndio7.0:arm64	1.9.0-0.3+b2
libsodium23:arm64	1.0.18-1+deb12u1
libsord-0-0:arm64	0.16.14+git221008-1
libsort-naturally-perl	1.03-4
libsoundtouch1:arm64	2.3.2+ds1-1
libsoup2.4-1:arm64	2.74.3-1+deb12u1
libsoup2.4-common	2.74.3-1+deb12u1
libsoup-3.0-0:arm64	3.2.3-0+deb12u2
libsoup-3.0-common	3.2.3-0+deb12u2
libsource-highlight4v5:arm64	3.1.9-4.2+b3
libsource-highlight-common	3.1.9-4.2
libsoxr0:arm64	0.1.3-4
libspandsp2:arm64	0.0.6+dfsg-2+b1
libspeex1:arm64	1.2.1-2
libsphinxbase3:arm64	0.8+5prealpha+1-16
libsqlite3-0:arm64	3.40.1-2+deb12u2
libsratom-0-0:arm64	0.6.14-1
libsrt1.5-gnutls:arm64	1.5.1-1+deb12u1
libsrtp2-1:arm64	2.5.0-3
libss2:arm64	1.47.0-2+b2
libssh2-1:arm64	1.10.0-3+b1
libssh-gcrypt-4:arm64	0.10.6-0+deb12u2
libssl3:arm64	3.0.20-1~deb12u2
libssl-dev:arm64	3.0.20-1~deb12u2
libstdc++-12-dev:arm64	12.2.0-14+deb12u1
libstdc++6:arm64	12.2.0-14+deb12u1
libsvtav1enc1:arm64	1.4.1+dfsg-1
libswresample4:arm64	7:5.1.8-0+deb12u1
libswscale6:arm64	7:5.1.8-0+deb12u1
libsystemd0:arm64	252.39-1~deb12u1
libsystemd-shared:arm64	252.39-1~deb12u1
libtag1v5:arm64	1.13-2
libtag1v5-vanilla:arm64	1.13-2
libtalloc2:arm64	2.4.0-f2
libtasn1-6:arm64	4.19.0-2+deb12u1
libteamdctl0:arm64	1.31-1
libterm-readkey-perl	2.38-2+b1
libtext-charwidth-perl:arm64	0.04-11
libtext-glob-perl	0.11-3
libtext-iconv-perl:arm64	1.7-8
libtext-wrapi18n-perl	0.06-10
libthai0:arm64	0.1.29-1
libthai-data	0.1.29-1
libtheora0:arm64	1.1.1+dfsg.1-16.1+deb12u1
libtiff6:arm64	4.5.0-6+deb12u4
libtinfo6:arm64	6.4-4
libtirpc3:arm64	1.3.3+ds-1
libtirpc-common	1.3.3+ds-1
libtirpc-dev:arm64	1.3.3+ds-1
libtsan2:arm64	12.2.0-14+deb12u1
libtwolame0:arm64	0.4.0-2
libubsan1:arm64	12.2.0-14+deb12u1
libuchardet0:arm64	0.0.7-1
libudev1:arm64	252.39-1~deb12u1
libudfread0:arm64	1.1.2-1
libudisks2-0:arm64	2.9.4-4+deb12u2
libunistring2:arm64	1.0-2
libunwind8:arm64	1.6.2-3
libusb-1.0-0:arm64	2:1.0.26-1
libutempter0:arm64	1.2.1-3
libuuid1:arm64	2.38.1-5+deb12u3
libv4l-0:arm64	1.22.1-5+b2
libv4l2rds0:arm64	1.22.1-5+b2
libv4lconvert0:arm64	1.22.1-5+b2
libva2:arm64	2.17.0-1
libva-drm2:arm64	2.17.0-1
libva-x11-2:arm64	2.17.0-1
libvdpau1:arm64	1.5-2
libvdpau-va-gl1:arm64	0.4.2-1+b1
libvidstab1.1:arm64	1.1.0-2+b1
libvisual-0.4-0:arm64	0.4.0-19
libvo-aacenc0:arm64	0.1.3-2
libvo-amrwbenc0:arm64	0.1.3-2
libvolume-key1:arm64	0.3.12-5+b1
libvorbis0a:arm64	1.3.7-1
libvorbisenc2:arm64	1.3.7-1
libvorbisfile3:arm64	1.3.7-1
